Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
حسين تجربة المستخدم (UX),SAL-43,10244,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:53 AM,18/Jan/26 10:53 AM,,18/Jan/26 10:53 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000m7:,,,,,10165,SAL-17,كـ مستخدم، أريد واجهة بسيطة وسهلة الاستخدام.,Done,18/Jan/26 10:53 AM
صفحة عرض الاقتراحات,SAL-42,10242,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:53 AM,18/Jan/26 10:53 AM,,18/Jan/26 10:53 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000lz:,,,,,10165,SAL-17,كـ مستخدم، أريد واجهة بسيطة وسهلة الاستخدام.,Done,18/Jan/26 10:53 AM
صميم الصفحة الرئيسية,SAL-41,10240,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:53 AM,18/Jan/26 10:53 AM,,18/Jan/26 10:53 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000lr:,,,,,10165,SAL-17,كـ مستخدم، أريد واجهة بسيطة وسهلة الاستخدام.,Done,18/Jan/26 10:53 AM
تحسين الاقتراحات لاحقًا,SAL-40,10238,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:52 AM,18/Jan/26 10:52 AM,,18/Jan/26 10:52 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000lj:,,,,,10170,SAL-22,كـ مستخدم، أريد تقييم الاقتراحات.,Done,18/Jan/26 10:52 AM
حفظ التقييم,SAL-39,10236,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:52 AM,18/Jan/26 10:52 AM,,18/Jan/26 10:52 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000lb:,,,,,10170,SAL-22,كـ مستخدم، أريد تقييم الاقتراحات.,Done,18/Jan/26 10:52 AM
نظام تقييم (نجوم),SAL-38,10234,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:51 AM,18/Jan/26 10:51 AM,,18/Jan/26 10:51 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000l3:,,,,,10170,SAL-22,كـ مستخدم، أريد تقييم الاقتراحات.,Done,18/Jan/26 10:51 AM
حذف من المحفوظات,SAL-37,10232,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:49 AM,18/Jan/26 10:49 AM,,18/Jan/26 10:49 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000kv:,,,,,10169,SAL-21,كـ مستخدم، أريد حفظ الهدايا المفضلة.,Done,18/Jan/26 10:49 AM
صفحة الهدايا المحفوظة,SAL-36,10230,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:48 AM,18/Jan/26 10:48 AM,,18/Jan/26 10:48 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000kn:,,,,,10169,SAL-21,كـ مستخدم، أريد حفظ الهدايا المفضلة.,Done,18/Jan/26 10:49 AM
زر حفظ الهدية,SAL-35,10228,Subtask,واجهة المستخدم,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,Done,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 10:48 AM,18/Jan/26 10:48 AM,,18/Jan/26 10:48 AM,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000kf:,,,,,10169,SAL-21,كـ مستخدم، أريد حفظ الهدايا المفضلة.,Done,18/Jan/26 10:48 AM
إخفاء الاقتراحات غير المناسبة,SAL-34,10194,Subtask,الميزانية والتخصيص,SAL,salamsamira,software,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,Medium,,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,18/Jan/26 8:55 AM,18/Jan/26 8:56 AM,,,,0,,,Salam Samira,712020:a5d5a4ad-417f-4074-9526-b3d6e5a0b8d1,,,,,,,,,,,0|i000k7:,,,,,10168,SAL-20,كـ مستخدم، أريد تحديد ميزانيتي قبل رؤية الهدايا.,In Progress,18/Jan/26 8:56 AM
